start_year,cds14,enr_9_12_total,race_hisp_pct,race_white_pct,race_asian_incl_fil_pct,race_black_pct,race_urg_pct,race_asian_only_pct
2013,03739810330019,60.0,31.67,55.0,1.67,0.0,40.0,1.67
2013,03739810330050,65.0,12.31,76.92,1.54,0.0,18.46,1.54
2013,03739810330753,646.0,15.33,72.29,2.32,0.31,17.65,1.55
2013,03739810334755,530.0,16.04,72.26,1.32,0.57,19.43,0.57
2013,04100410114991,278.0,15.11,80.94,0.36,1.08,18.71,0.36
2013,04100410128272,16.0,25.0,68.75,6.25,0.0,25.0,0.0
2013,04100410430066,32.0,18.75,56.25,0.0,6.25,25.0,0.0
2013,04100410430090,189.0,28.57,61.38,1.59,0.53,31.75,1.06
2013,04100416069256,4.0,25.0,50.0,25.0,0.0,25.0,25.0
2013,04614080430207,8.0,75.0,12.5,0.0,0.0,75.0,0.0
2013,04614080430827,142.0,40.85,54.23,0.0,2.11,45.07,0.0
2013,04614240000001,1.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,04614240111039,30.0,40.0,53.33,0.0,3.33,46.67,0.0
2013,04614240120394,433.0,13.63,76.67,1.62,0.46,15.24,1.39
2013,04614240123976,5.0,20.0,40.0,0.0,40.0,60.0,0.0
2013,04614240430199,75.0,28.0,62.67,1.33,2.67,33.33,1.33
2013,04614240430215,4.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,04614240431502,215.0,26.05,55.35,2.33,7.44,38.14,2.33
2013,04614240431676,1762.0,23.38,59.59,8.4,4.94,30.19,7.78
2013,04614240437558,1865.0,18.39,68.47,7.56,2.09,21.77,6.7
2013,04614320433201,324.0,22.84,72.84,0.31,0.0,25.31,0.31
2013,04614400121509,30.0,20.0,26.67,0.0,0.0,63.33,0.0
2013,04614570125252,42.0,19.05,69.05,0.0,0.0,28.57,0.0
2013,04615150000001,7.0,0.0,57.14,0.0,14.29,28.57,0.0
2013,04615150430140,21.0,28.57,33.33,0.0,14.29,57.14,0.0
2013,04615150434803,1126.0,23.98,52.22,9.33,1.87,30.02,9.24
2013,04615150435602,1092.0,15.38,43.68,26.74,2.2,21.43,26.47
2013,04615150437566,115.0,23.48,43.48,6.96,6.09,36.52,6.96
2013,04615310121715,43.0,18.6,65.12,2.33,0.0,23.26,0.0
2013,04615310430108,11.0,18.18,45.45,0.0,18.18,36.36,0.0
2013,04615310432856,111.0,18.02,75.68,0.0,0.9,19.82,0.0
2013,04615310437350,1088.0,10.57,78.86,1.1,0.64,11.86,0.64
2013,04615316112585,74.0,6.76,74.32,0.0,0.0,10.81,0.0
2013,04755070430157,2.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,04755070433946,26.0,42.31,46.15,3.85,0.0,42.31,3.85
2013,04755070433953,662.0,55.59,34.59,3.47,0.6,56.34,3.32
2013,05100580530048,34.0,2.94,85.29,0.0,0.0,8.82,0.0
2013,05100580530154,209.0,17.7,73.21,0.48,0.48,20.1,0.48
2013,05100586077150,8.0,25.0,75.0,0.0,0.0,25.0,0.0
2013,05100589010745,15.0,33.33,46.67,6.67,13.33,46.67,6.67
2013,05615560530014,14.0,28.57,64.29,0.0,0.0,28.57,0.0
2013,05615560530121,22.0,22.73,68.18,0.0,0.0,22.73,0.0
2013,05615560532507,688.0,18.02,73.11,0.29,0.29,20.64,0.29
2013,05615640000001,2.0,0.0,100.0,0.0,0.0,0.0,0.0
