entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,denom,n_first,n_second,n_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2018,ethnicity,aian,3,3.9,4.0,64,46,8,0,71.88,12.5,0.0
FR,All,2018,ethnicity,asian,1,0.0,3.68,4786,3433,513,117,71.73,10.72,2.44
FR,All,2018,ethnicity,asian,2,3.68,3.9,5289,4314,482,85,81.57,9.11,1.61
FR,All,2018,ethnicity,asian,3,3.9,4.0,6249,5401,473,66,86.43,7.57,1.06
FR,All,2018,ethnicity,black,1,0.0,3.68,927,490,126,37,52.86,13.59,3.99
FR,All,2018,ethnicity,black,2,3.68,3.9,544,323,67,27,59.38,12.32,4.96
FR,All,2018,ethnicity,black,3,3.9,4.0,427,318,42,12,74.47,9.84,2.81
FR,All,2018,ethnicity,hispanic_latino,1,0.0,3.68,4855,2622,677,161,54.01,13.94,3.32
FR,All,2018,ethnicity,hispanic_latino,2,3.68,3.9,3522,2250,495,94,63.88,14.05,2.67
FR,All,2018,ethnicity,hispanic_latino,3,3.9,4.0,2908,2130,317,63,73.25,10.9,2.17
FR,All,2018,ethnicity,international,1,0.0,3.68,1508,982,173,47,65.12,11.47,3.12
FR,All,2018,ethnicity,international,2,3.68,3.9,1493,1069,168,44,71.6,11.25,2.95
FR,All,2018,ethnicity,international,3,3.9,4.0,1861,1453,173,50,78.08,9.3,2.69
FR,All,2018,ethnicity,white,1,0.0,3.68,2162,1296,343,64,59.94,15.86,2.96
FR,All,2018,ethnicity,white,2,3.68,3.9,2571,1941,268,41,75.5,10.42,1.59
FR,All,2018,ethnicity,white,3,3.9,4.0,4088,3381,358,49,82.71,8.76,1.2
FR,All,2018,first_gen_status,first_gen,1,0.0,3.68,7227,4145,964,219,57.35,13.34,3.03
FR,All,2018,first_gen_status,first_gen,2,3.68,3.9,5609,3809,718,127,67.91,12.8,2.26
FR,All,2018,first_gen_status,first_gen,3,3.9,4.0,4749,3586,494,93,75.51,10.4,1.96
FR,All,2018,first_gen_status,not_first_gen,1,0.0,3.68,7088,4718,904,207,66.56,12.75,2.92
FR,All,2018,first_gen_status,not_first_gen,2,3.68,3.9,8002,6243,785,160,78.02,9.81,2.0
FR,All,2018,first_gen_status,not_first_gen,3,3.9,4.0,11158,9435,899,146,84.56,8.06,1.31
FR,All,2018,overall,overall,1,0.0,3.68,14637,9051,1906,438,61.84,13.02,2.99
FR,All,2018,overall,overall,2,3.68,3.9,13863,10230,1534,295,73.79,11.07,2.13
FR,All,2018,overall,overall,3,3.9,4.0,16193,13244,1420,246,81.79,8.77,1.52
FR,All,2018,pell_status,non_pell,1,0.0,3.68,7412,4787,930,195,64.58,12.55,2.63
FR,All,2018,pell_status,non_pell,2,3.68,3.9,8181,6292,808,147,76.91,9.88,1.8
FR,All,2018,pell_status,non_pell,3,3.9,4.0,11061,9326,882,127,84.31,7.97,1.15
FR,All,2018,pell_status,pell,1,0.0,3.68,7225,4264,976,243,59.02,13.51,3.36
FR,All,2018,pell_status,pell,2,3.68,3.9,5682,3938,726,148,69.31,12.78,2.6
FR,All,2018,pell_status,pell,3,3.9,4.0,5132,3918,538,119,76.34,10.48,2.32
FR,All,2019,ethnicity,aian,1,1.38,3.69,61,33,9,1,54.1,14.75,1.64
FR,All,2019,ethnicity,aian,2,3.69,3.91,63,43,6,2,68.25,9.52,3.17
FR,All,2019,ethnicity,aian,3,3.91,4.0,62,43,7,1,69.35,11.29,1.61
FR,All,2019,ethnicity,asian,1,1.38,3.69,4818,3448,561,129,71.56,11.64,2.68
FR,All,2019,ethnicity,asian,2,3.69,3.91,5371,4363,487,96,81.23,9.07,1.79
FR,All,2019,ethnicity,asian,3,3.91,4.0,6080,5329,433,53,87.65,7.12,0.87
FR,All,2019,ethnicity,black,1,1.38,3.69,841,437,126,22,51.96,14.98,2.62
FR,All,2019,ethnicity,black,2,3.69,3.91,529,346,73,10,65.41,13.8,1.89
FR,All,2019,ethnicity,black,3,3.91,4.0,396,288,39,7,72.73,9.85,1.77
FR,All,2019,ethnicity,hispanic_latino,1,1.38,3.69,4971,2748,715,146,55.28,14.38,2.94
FR,All,2019,ethnicity,hispanic_latino,2,3.69,3.91,3668,2417,491,83,65.89,13.39,2.26
FR,All,2019,ethnicity,hispanic_latino,3,3.91,4.0,2786,2109,310,50,75.7,11.13,1.79
FR,All,2019,ethnicity,international,1,1.38,3.69,1355,817,160,43,60.3,11.81,3.17
FR,All,2019,ethnicity,international,2,3.69,3.91,1534,1107,146,39,72.16,9.52,2.54
FR,All,2019,ethnicity,international,3,3.91,4.0,1720,1310,165,39,76.16,9.59,2.27
FR,All,2019,ethnicity,white,1,1.38,3.69,2178,1411,297,45,64.78,13.64,2.07
FR,All,2019,ethnicity,white,2,3.69,3.91,2717,2067,298,37,76.08,10.97,1.36
FR,All,2019,ethnicity,white,3,3.91,4.0,3940,3282,308,39,83.3,7.82,0.99
