campus,metric,subgroup,value,n
Merced,earnings_p8,inc_low,51451,672
Merced,earnings_p8,inc_mid,52959,612
Merced,earnings_p8,inc_high,58335,341
Merced,earnings_p10,overall,61148,334
Merced,earnings_p10,inc_low,57085,123
Merced,earnings_p10,inc_mid,66024,108
Merced,earnings_p10,inc_high,60774,103
Merced,debt_grad,overall,17500,1840
Merced,debt_grad,pell,12353,2256
Merced,debt_grad,non_pell,14050,579
Merced,debt_grad,inc_low,12700,1175
Merced,debt_grad,inc_mid,11463,1079
Merced,debt_grad,inc_high,15502,581
Merced,debt_grad,first_gen,12250,2356
Merced,debt_grad,not_first_gen,14512,479
