campus,year,cip2,cip2_title,total,urm,urm_share_pct
Santa Cruz,2011,27,27 - Mathematics and statistics,65,12,18.5
Santa Cruz,2011,30,30 - Multi/interdisciplinary studies,21,2,9.5
Santa Cruz,2011,38,38 - Philosophy and religious studies,56,8,14.3
Santa Cruz,2011,40,40 - Physical sciences,165,28,17.0
Santa Cruz,2011,42,42 - Psychology,510,118,23.1
Santa Cruz,2011,44,44 - Public administration and social service,96,25,26.0
Santa Cruz,2011,45,45 - Social sciences,680,153,22.5
Santa Cruz,2011,50,50 - Visual and performing arts,425,69,16.2
Santa Cruz,2011,52,52 - Business/management/marketing,342,42,12.3
Santa Cruz,2011,54,54 - History,210,45,21.4
Santa Cruz,2012,01,01 - Agriculture,16,2,12.5
Santa Cruz,2012,03,03 - Natural resources,266,39,14.7
Santa Cruz,2012,05,"05 - Area, ethnic, cultural, gender, and group studies",176,100,56.8
Santa Cruz,2012,11,11 - Computer and information sciences,188,28,14.9
Santa Cruz,2012,13,13 - Education,1,0,0.0
Santa Cruz,2012,14,14 - Engineering,103,15,14.6
Santa Cruz,2012,16,16 - Foreign languages,290,68,23.4
Santa Cruz,2012,22,22 - Legal professions,69,19,27.5
Santa Cruz,2012,26,26 - Biological sciences,660,112,17.0
Santa Cruz,2012,27,27 - Mathematics and statistics,66,9,13.6
Santa Cruz,2012,30,30 - Multi/interdisciplinary studies,54,9,16.7
Santa Cruz,2012,38,38 - Philosophy and religious studies,61,12,19.7
Santa Cruz,2012,40,40 - Physical sciences,152,28,18.4
Santa Cruz,2012,42,42 - Psychology,471,125,26.5
Santa Cruz,2012,44,44 - Public administration and social service,33,13,39.4
Santa Cruz,2012,45,45 - Social sciences,602,165,27.4
Santa Cruz,2012,50,50 - Visual and performing arts,385,94,24.4
Santa Cruz,2012,52,52 - Business/management/marketing,289,45,15.6
Santa Cruz,2012,54,54 - History,156,41,26.3
Santa Cruz,2013,01,01 - Agriculture,17,0,0.0
Santa Cruz,2013,03,03 - Natural resources,226,32,14.2
Santa Cruz,2013,05,"05 - Area, ethnic, cultural, gender, and group studies",115,71,61.7
Santa Cruz,2013,11,11 - Computer and information sciences,171,19,11.1
Santa Cruz,2013,14,14 - Engineering,102,18,17.6
Santa Cruz,2013,16,16 - Foreign languages,265,63,23.8
Santa Cruz,2013,22,22 - Legal professions,73,19,26.0
Santa Cruz,2013,26,26 - Biological sciences,666,129,19.4
Santa Cruz,2013,27,27 - Mathematics and statistics,51,16,31.4
Santa Cruz,2013,30,30 - Multi/interdisciplinary studies,66,17,25.8
Santa Cruz,2013,38,38 - Philosophy and religious studies,56,13,23.2
Santa Cruz,2013,40,40 - Physical sciences,158,36,22.8
Santa Cruz,2013,42,42 - Psychology,466,136,29.2
Santa Cruz,2013,44,44 - Public administration and social service,18,3,16.7
Santa Cruz,2013,45,45 - Social sciences,557,197,35.4
Santa Cruz,2013,50,50 - Visual and performing arts,332,81,24.4
Santa Cruz,2013,52,52 - Business/management/marketing,286,49,17.1
Santa Cruz,2013,54,54 - History,141,38,27.0
Santa Cruz,2014,01,01 - Agriculture,12,3,25.0
Santa Cruz,2014,03,03 - Natural resources,217,46,21.2
Santa Cruz,2014,05,"05 - Area, ethnic, cultural, gender, and group studies",110,86,78.2
Santa Cruz,2014,11,11 - Computer and information sciences,273,35,12.8
Santa Cruz,2014,14,14 - Engineering,133,24,18.0
Santa Cruz,2014,16,16 - Foreign languages,276,69,25.0
Santa Cruz,2014,22,22 - Legal professions,81,41,50.6
Santa Cruz,2014,26,26 - Biological sciences,690,154,22.3
Santa Cruz,2014,27,27 - Mathematics and statistics,54,17,31.5
Santa Cruz,2014,30,30 - Multi/interdisciplinary studies,93,15,16.1
Santa Cruz,2014,38,38 - Philosophy and religious studies,60,17,28.3
Santa Cruz,2014,40,40 - Physical sciences,136,27,19.9
Santa Cruz,2014,42,42 - Psychology,437,140,32.0
Santa Cruz,2014,44,44 - Public administration and social service,15,6,40.0
Santa Cruz,2014,45,45 - Social sciences,557,219,39.3
Santa Cruz,2014,50,50 - Visual and performing arts,333,91,27.3
Santa Cruz,2014,52,52 - Business/management/marketing,259,45,17.4
Santa Cruz,2014,54,54 - History,160,39,24.4
Santa Cruz,2015,01,01 - Agriculture,19,9,47.4
Santa Cruz,2015,03,03 - Natural resources,225,54,24.0
Santa Cruz,2015,05,"05 - Area, ethnic, cultural, gender, and group studies",122,96,78.7
Santa Cruz,2015,11,11 - Computer and information sciences,313,57,18.2
Santa Cruz,2015,14,14 - Engineering,127,36,28.3
Santa Cruz,2015,16,16 - Foreign languages,238,76,31.9
Santa Cruz,2015,22,22 - Legal professions,92,45,48.9
Santa Cruz,2015,26,26 - Biological sciences,774,185,23.9
Santa Cruz,2015,27,27 - Mathematics and statistics,47,11,23.4
Santa Cruz,2015,30,30 - Multi/interdisciplinary studies,116,26,22.4
Santa Cruz,2015,38,38 - Philosophy and religious studies,45,12,26.7
Santa Cruz,2015,40,40 - Physical sciences,173,41,23.7
Santa Cruz,2015,42,42 - Psychology,448,167,37.3
Santa Cruz,2015,44,44 - Public administration and social service,33,14,42.4
Santa Cruz,2015,45,45 - Social sciences,566,245,43.3
Santa Cruz,2015,50,50 - Visual and performing arts,295,87,29.5
Santa Cruz,2015,52,52 - Business/management/marketing,268,60,22.4
Santa Cruz,2015,54,54 - History,115,35,30.4
Santa Cruz,2016,01,01 - Agriculture,14,3,21.4
Santa Cruz,2016,03,03 - Natural resources,197,59,29.9
Santa Cruz,2016,05,"05 - Area, ethnic, cultural, gender, and group studies",113,82,72.6
Santa Cruz,2016,11,11 - Computer and information sciences,376,78,20.7
Santa Cruz,2016,13,13 - Education,1,0,0.0
Santa Cruz,2016,14,14 - Engineering,163,34,20.9
Santa Cruz,2016,16,16 - Foreign languages,243,105,43.2
Santa Cruz,2016,22,22 - Legal professions,95,48,50.5
Santa Cruz,2016,26,26 - Biological sciences,673,197,29.3
Santa Cruz,2016,27,27 - Mathematics and statistics,60,16,26.7
Santa Cruz,2016,30,30 - Multi/interdisciplinary studies,98,30,30.6
Santa Cruz,2016,38,38 - Philosophy and religious studies,39,10,25.6
Santa Cruz,2016,40,40 - Physical sciences,193,51,26.4
Santa Cruz,2016,42,42 - Psychology,396,150,37.9
Santa Cruz,2016,44,44 - Public administration and social service,55,26,47.3
Santa Cruz,2016,45,45 - Social sciences,572,271,47.4
Santa Cruz,2016,50,50 - Visual and performing arts,321,122,38.0
Santa Cruz,2016,52,52 - Business/management/marketing,257,57,22.2
Santa Cruz,2016,54,54 - History,116,40,34.5
Santa Cruz,2017,01,01 - Agriculture,16,3,18.8
Santa Cruz,2017,03,03 - Natural resources,220,55,25.0
Santa Cruz,2017,05,"05 - Area, ethnic, cultural, gender, and group studies",134,98,73.1
Santa Cruz,2017,11,11 - Computer and information sciences,550,60,10.9
Santa Cruz,2017,14,14 - Engineering,204,49,24.0
Santa Cruz,2017,16,16 - Foreign languages,224,78,34.8
Santa Cruz,2017,22,22 - Legal professions,97,53,54.6
Santa Cruz,2017,26,26 - Biological sciences,712,193,27.1
Santa Cruz,2017,27,27 - Mathematics and statistics,82,22,26.8
Santa Cruz,2017,30,30 - Multi/interdisciplinary studies,106,33,31.1
Santa Cruz,2017,38,38 - Philosophy and religious studies,51,16,31.4
Santa Cruz,2017,40,40 - Physical sciences,156,37,23.7
Santa Cruz,2017,42,42 - Psychology,417,178,42.7
Santa Cruz,2017,44,44 - Public administration and social service,53,26,49.1
Santa Cruz,2017,45,45 - Social sciences,551,205,37.2
Santa Cruz,2017,50,50 - Visual and performing arts,316,90,28.5
Santa Cruz,2017,52,52 - Business/management/marketing,288,56,19.4
Santa Cruz,2017,54,54 - History,93,37,39.8
Santa Cruz,2018,01,01 - Agriculture,9,3,33.3
Santa Cruz,2018,03,03 - Natural resources,216,70,32.4
Santa Cruz,2018,05,"05 - Area, ethnic, cultural, gender, and group studies",124,89,71.8
Santa Cruz,2018,11,11 - Computer and information sciences,656,96,14.6
Santa Cruz,2018,14,14 - Engineering,193,49,25.4
Santa Cruz,2018,16,16 - Foreign languages,190,75,39.5
Santa Cruz,2018,22,22 - Legal professions,106,58,54.7
Santa Cruz,2018,26,26 - Biological sciences,725,214,29.5
Santa Cruz,2018,27,27 - Mathematics and statistics,89,31,34.8
Santa Cruz,2018,30,30 - Multi/interdisciplinary studies,107,37,34.6
Santa Cruz,2018,38,38 - Philosophy and religious studies,39,11,28.2
Santa Cruz,2018,40,40 - Physical sciences,180,57,31.7
Santa Cruz,2018,42,42 - Psychology,381,140,36.7
Santa Cruz,2018,44,44 - Public administration and social service,47,21,44.7
Santa Cruz,2018,45,45 - Social sciences,565,226,40.0
Santa Cruz,2018,50,50 - Visual and performing arts,348,106,30.5
Santa Cruz,2018,52,52 - Business/management/marketing,335,83,24.8
Santa Cruz,2018,54,54 - History,85,34,40.0
Santa Cruz,2019,01,01 - Agriculture,11,1,9.1
Santa Cruz,2019,03,03 - Natural resources,227,54,23.8
Santa Cruz,2019,05,"05 - Area, ethnic, cultural, gender, and group studies",145,98,67.6
Santa Cruz,2019,11,11 - Computer and information sciences,792,106,13.4
Santa Cruz,2019,13,13 - Education,1,1,100.0
Santa Cruz,2019,14,14 - Engineering,212,58,27.4
Santa Cruz,2019,16,16 - Foreign languages,228,80,35.1
Santa Cruz,2019,22,22 - Legal professions,118,60,50.8
Santa Cruz,2019,26,26 - Biological sciences,842,250,29.7
Santa Cruz,2019,27,27 - Mathematics and statistics,102,24,23.5
Santa Cruz,2019,30,30 - Multi/interdisciplinary studies,144,36,25.0
Santa Cruz,2019,38,38 - Philosophy and religious studies,46,15,32.6
Santa Cruz,2019,40,40 - Physical sciences,205,61,29.8
Santa Cruz,2019,42,42 - Psychology,460,163,35.4
Santa Cruz,2019,44,44 - Public administration and social service,54,26,48.1
Santa Cruz,2019,45,45 - Social sciences,592,232,39.2
Santa Cruz,2019,50,50 - Visual and performing arts,458,145,31.7
Santa Cruz,2019,52,52 - Business/management/marketing,307,66,21.5
Santa Cruz,2019,54,54 - History,118,47,39.8
Santa Cruz,2020,01,01 - Agriculture,19,5,26.3
Santa Cruz,2020,03,03 - Natural resources,191,61,31.9
Santa Cruz,2020,05,"05 - Area, ethnic, cultural, gender, and group studies",146,97,66.4
Santa Cruz,2020,11,11 - Computer and information sciences,795,108,13.6
Santa Cruz,2020,13,13 - Education,31,11,35.5
Santa Cruz,2020,14,14 - Engineering,171,41,24.0
Santa Cruz,2020,16,16 - Foreign languages,204,74,36.3
Santa Cruz,2020,22,22 - Legal professions,131,72,55.0
Santa Cruz,2020,26,26 - Biological sciences,802,267,33.3
Santa Cruz,2020,27,27 - Mathematics and statistics,107,18,16.8
Santa Cruz,2020,30,30 - Multi/interdisciplinary studies,140,27,19.3
Santa Cruz,2020,38,38 - Philosophy and religious studies,50,11,22.0
Santa Cruz,2020,40,40 - Physical sciences,270,69,25.6
Santa Cruz,2020,42,42 - Psychology,435,160,36.8
Santa Cruz,2020,44,44 - Public administration and social service,34,17,50.0
Santa Cruz,2020,45,45 - Social sciences,626,216,34.5
Santa Cruz,2020,50,50 - Visual and performing arts,435,110,25.3
Santa Cruz,2020,52,52 - Business/management/marketing,289,55,19.0
Santa Cruz,2020,54,54 - History,110,37,33.6
Santa Cruz,2021,01,01 - Agriculture,19,4,21.1
Santa Cruz,2021,03,03 - Natural resources,140,42,30.0
Santa Cruz,2021,05,"05 - Area, ethnic, cultural, gender, and group studies",106,79,74.5
Santa Cruz,2021,11,11 - Computer and information sciences,694,103,14.8
Santa Cruz,2021,13,13 - Education,54,30,55.6
Santa Cruz,2021,14,14 - Engineering,182,23,12.6
Santa Cruz,2021,16,16 - Foreign languages,180,68,37.8
Santa Cruz,2021,22,22 - Legal professions,115,56,48.7
Santa Cruz,2021,26,26 - Biological sciences,697,202,29.0
Santa Cruz,2021,27,27 - Mathematics and statistics,106,19,17.9
Santa Cruz,2021,30,30 - Multi/interdisciplinary studies,128,32,25.0
Santa Cruz,2021,38,38 - Philosophy and religious studies,48,10,20.8
Santa Cruz,2021,40,40 - Physical sciences,208,52,25.0
Santa Cruz,2021,42,42 - Psychology,355,134,37.7
Santa Cruz,2021,44,44 - Public administration and social service,30,11,36.7
Santa Cruz,2021,45,45 - Social sciences,530,177,33.4
Santa Cruz,2021,50,50 - Visual and performing arts,405,119,29.4
Santa Cruz,2021,52,52 - Business/management/marketing,286,52,18.2
Santa Cruz,2021,54,54 - History,81,26,32.1
Santa Cruz,2022,01,01 - Agriculture,26,7,26.9
Santa Cruz,2022,03,03 - Natural resources,156,43,27.6
Santa Cruz,2022,05,"05 - Area, ethnic, cultural, gender, and group studies",106,65,61.3
Santa Cruz,2022,11,11 - Computer and information sciences,744,112,15.1
Santa Cruz,2022,13,13 - Education,69,32,46.4
Santa Cruz,2022,14,14 - Engineering,155,30,19.4
Santa Cruz,2022,16,16 - Foreign languages,157,44,28.0
Santa Cruz,2022,22,22 - Legal professions,106,41,38.7
Santa Cruz,2022,26,26 - Biological sciences,708,208,29.4
Santa Cruz,2022,27,27 - Mathematics and statistics,104,14,13.5
