entry,campus,cohort,q_lo,q1_hi,q2_hi,q_hi
TR,San Diego,2019,0.32,3.38,3.73,4.0
TR,San Diego,2020,1.25,3.39,3.74,4.0
TR,San Diego,2021,1.0,3.5,3.82,4.0
TR,Santa Barbara,2010,0.33,3.25,3.63,4.0
TR,Santa Barbara,2011,0.31,3.27,3.63,4.0
TR,Santa Barbara,2012,0.3,3.3,3.65,4.0
TR,Santa Barbara,2013,0.32,3.31,3.66,4.0
TR,Santa Barbara,2014,0.82,3.34,3.68,4.0
TR,Santa Barbara,2015,1.4,3.34,3.68,4.0
TR,Santa Barbara,2016,0.36,3.33,3.68,4.0
TR,Santa Barbara,2017,0.3,3.33,3.69,4.0
TR,Santa Barbara,2018,0.32,3.34,3.7,4.0
TR,Santa Barbara,2019,0.32,3.38,3.73,4.0
TR,Santa Barbara,2020,1.25,3.39,3.74,4.0
TR,Santa Barbara,2021,1.0,3.5,3.82,4.0
TR,Santa Cruz,2010,0.33,3.25,3.63,4.0
TR,Santa Cruz,2011,0.31,3.27,3.63,4.0
TR,Santa Cruz,2012,0.3,3.3,3.65,4.0
TR,Santa Cruz,2013,0.32,3.31,3.66,4.0
TR,Santa Cruz,2014,0.82,3.34,3.68,4.0
TR,Santa Cruz,2015,1.4,3.34,3.68,4.0
TR,Santa Cruz,2016,0.36,3.33,3.68,4.0
TR,Santa Cruz,2017,0.3,3.33,3.69,4.0
TR,Santa Cruz,2018,0.32,3.34,3.7,4.0
TR,Santa Cruz,2019,0.32,3.38,3.73,4.0
TR,Santa Cruz,2020,1.25,3.39,3.74,4.0
TR,Santa Cruz,2021,1.0,3.5,3.82,4.0
