ceeb,name,city,county
052256,Laurel Springs School,Ojai,Ventura
052260,Nordhoff High School,Ojai,Ventura
052262,Ojai Valley School,Ojai,Ventura
052267,Canyon High School,Anaheim,Orange
052269,Orange Lutheran High School,Orange,Orange
052270,Villanova Preparatory School,Ojai,Ventura
052274,Ontario High School,Ontario,San Bernardino
052275,Chaffey High School,Ontario,San Bernardino
052276,El Modena High School,Orange,Orange
052278,Ontario Christian High School,Ontario,San Bernardino
052279,Villa Park High School,Villa Park,Orange
052280,Orange High School,Orange,Orange
052282,Miramonte High School,Orinda,Contra Costa
052284,Casa Roble Fundamental Hs,Orangevale,Sacramento
052290,Orosi High School,Orosi,Tulare
052293,Las Plumas High School,Oroville,Butte
052295,Oroville High School,Oroville,Butte
052297,Channel Islands High School,Oxnard,Ventura
052298,Hueneme High School,Oxnard,Ventura
052299,Rio Mesa High School,Oxnard,Ventura
052305,Oxnard High School,Oxnard,Ventura
052308,Oceana High School,Pacifica,San Mateo
052310,Pacific Grove High School,Pacific Grove,Monterey
052311,Pacific Bay Christian School,Pacifica,San Mateo
052315,Palmdale High School,Palmdale,Los Angeles
052319,Palm Desert High School,Palm Desert,Riverside
052320,Palm Springs High School,Palm Springs,Riverside
052327,Palisades Charter High School,Pacific Palisades,Los Angeles
052330,Castilleja School,Palo Alto,Santa Clara
052339,Archer School for Girls,Los Angeles,Los Angeles
052347,Henry M Gunn Senior High Schl,Palo Alto,Santa Clara
052350,Palo Alto Senior High School,Palo Alto,Santa Clara
052358,Palos Verdes High School,Palos Verdes Estate,Los Angeles
052360,Paradise High School,Paradise,Butte
052365,Paramount High School,Paramount,Los Angeles
052370,Parlier High School,Parlier,Fresno
052373,Blair High School,Pasadena,Los Angeles
052375,Flintridge Preparatory School,La Canada,Los Angeles
052379,Pacifica High School,Oxnard,Ventura
052380,Flintridge Sacred Heart Acad,La Canada,Los Angeles
052384,Colony High School,Ontario,San Bernardino
052388,John Marshall Fundamental Sch,Pasadena,Los Angeles
052390,John Muir High School,Pasadena,Los Angeles
052392,La Salle College Preparatory,Pasadena,Los Angeles
052395,Mayfield Senior School,Pasadena,Los Angeles
052401,Pasadena High School,Pasadena,Los Angeles
052402,Polytechnic School,Pasadena,Los Angeles
052410,Oakland School for the Arts,Oakland,Alameda
052420,Westridge School,Pasadena,Los Angeles
052425,Paso Robles High School,Paso Robles,San Luis Obispo
052430,Patterson High School,Patterson,Stanislaus
052435,Robert Louis Stevenson School,Pebble Beach,Monterey
052437,Serrano High School,Phelan,San Bernardino
052440,Perris High School,Perris,Riverside
052448,Casa Grande High School,Petaluma,Sonoma
052455,St Vincent De Paul College Prep,Petaluma,Sonoma
052460,Petaluma High School,Petaluma,Sonoma
052462,Piedmont High School,Piedmont,Alameda
052464,Pinole Valley High School,Pinole,Contra Costa
052475,Pittsburg High School,Pittsburg,Contra Costa
052478,El Dorado High School,Placentia,Orange
052480,Valencia High School,Placentia,Orange
052484,Oakland Unity High School,Oakland,Alameda
052485,El Dorado High School,Placerville,El Dorado
052487,Saint Bernard High School,Playa Del Rey,Los Angeles
052489,Discovery Charter Prep School,Sylmar,Los Angeles
052491,William J Pete Knight High Sch,Palmdale,Los Angeles
052495,Amador Valley High School,Pleasanton,Alameda
052497,Foothill High School,Pleasanton,Alameda
052501,Garey High School,Pomona,Los Angeles
052502,Damien High School,La Verne,Los Angeles
052503,Ganesha High School,Pomona,Los Angeles
052504,Pomona Catholic High School,Pomona,Los Angeles
052505,Pomona High School,Pomona,Los Angeles
052508,International Polytechnic Hs,Pomona,Los Angeles
052513,Monache High School,Porterville,Tulare
052515,Porterville High School,Porterville,Tulare
052516,Diamond Ranch High School,Pomona,Los Angeles
052519,Granite Hills High School,Porterville,Tulare
052527,Woodside Priory School,Portola Valley,San Mateo
052533,Poway High School,Poway,San Diego
052536,Rancho Bernardo High School,San Diego,San Diego
052537,Village Academy High School,Pomona,Los Angeles
052541,Highland High School,Palmdale,Los Angeles
052543,Quartz Hill High School,Quartz Hill,Los Angeles
052546,Rancho Cucamonga High School,Rancho Cucamonga,San Bernardino
052550,Ramona High School,Ramona,San Diego
052553,Cordova High School,Rancho Cordova,Sacramento
052563,Santa Margarita Catholic Hs,Rancho San Margarit,Orange
052567,Martin Luther King High School,Riverside,Riverside
052572,Redlands East Valley Hs,Redlands,San Bernardino
052575,Red Bluff High School,Red Bluff,Tehama
052580,Enterprise High School,Redding,Shasta
052581,Foothill High School,Palo Cedro,Shasta
052585,Shasta High School,Redding,Shasta
052590,Redlands High School,Redlands,San Bernardino
052598,Woodcreek High School,Roseville,Placer
052600,Redondo Union High School,Redondo Beach,Los Angeles
052605,Sequoia High School,Redwood City,San Mateo
052608,City of Angels School,Los Angeles,Los Angeles
052609,Rocklin High School,Rocklin,Placer
052615,Reedley High School,Reedley,Fresno
052617,Sherman Oaks Ctr Enrched Stds,Tarzana,Los Angeles
052618,Cleveland High School,Reseda,Los Angeles
052620,Reseda High School,Reseda,Los Angeles
052622,Eisenhower High School,Rialto,San Bernardino
052625,De Anza High School,Richmond,Contra Costa
052629,Rialto High School,Rialto,San Bernardino
052630,John F Kennedy High School,Richmond,Contra Costa
052636,Richmond High School,Richmond,Contra Costa
052637,Salesian College Preparatory,Richmond,Contra Costa
052643,Rio Linda Senior High School,Rio Linda,Sacramento
052645,Rio Vista High School,Rio Vista,Solano
052650,Ripon High School,Ripon,San Joaquin
052655,El Rancho High School,Pico Rivera,Los Angeles
052657,Riverbank High School,Riverbank,Stanislaus
052658,Arlington High School,Riverside,Riverside
052659,La Sierra High School,Riverside,Riverside
052660,Riverdale High School,Riverdale,Fresno
052661,John W North High School,Riverside,Riverside
052663,Notre Dame High School,Riverside,Riverside
052664,Norte Vista Senior High School,Riverside,Riverside
052665,Riverside Poly High School,Riverside,Riverside
052670,Ramona High School,Riverside,Riverside
052671,Carnegie Schools Riverside,Riverside,Riverside
052672,Rubidoux High School,Jurupa Valley,Riverside
052677,Woodcrest Christian School,Riverside,Riverside
052678,Rancho Cotate High School,Rohnert Park,Sonoma
052680,Chadwick School,Palos Verdes Estate,Los Angeles
052681,Rolling Hills Preparatory School,San Pedro,Los Angeles
052683,Palos Verdes Peninsula Hs,Rolling Hills Estat,Los Angeles
052685,Rosemead High School,Rosemead,Los Angeles
052686,Maranatha High School,Pasadena,Los Angeles
052688,Oakmont High School,Roseville,Placer
052690,Roseville High School,Roseville,Placer
052694,Glen A Wilson High School,Hacienda Heights,Los Angeles
052695,Branson School,Ross,Marin
052696,John A Rowland High School,Rowland Heights,Los Angeles
052697,Christian Brothers High School,Sacramento,Sacramento
052698,Saint Francis High School,Sacramento,Sacramento
052705,C K Mcclatchy High School,Sacramento,Sacramento
052708,Destiny Christian Academy,Sacramento,Sacramento
052710,El Camino Fundamental Hs,Sacramento,Sacramento
052713,John F Kennedy High School,Sacramento,Sacramento
052714,Jesuit High School,Carmichael,Sacramento
052716,Encina High School,Sacramento,Sacramento
052717,Hiram W Johnson High School,Sacramento,Sacramento
052718,Loretto High School,Sacramento,Sacramento
052719,Luther Burbank High School,Sacramento,Sacramento
052722,Florin High School,Sacramento,Sacramento
052723,Mira Loma High School,Sacramento,Sacramento
052728,West Campus High School,Sacramento,Sacramento
052730,Rio Americano High School,Sacramento,Sacramento
052733,Sacramento Country Day School,Sacramento,Sacramento
052735,Sacramento High School,Sacramento,Sacramento
052736,Valley High School,Sacramento,Sacramento
052740,Saint Helena High School,Saint Helena,Napa
052741,Santa Fe Christian School,Solana Beach,San Diego
052742,Alisal High School,Salinas,Monterey
052745,Palma High School,Salinas,Monterey
052746,North Salinas High School,Salinas,Monterey
052748,Notre Dame High School,Salinas,Monterey
052755,Salinas High School,Salinas,Monterey
052760,Calaveras High School,San Andreas,Calaveras
052770,Archie Williams High School,San Anselmo,Marin
052772,Aquinas High School,San Bernardino,San Bernardino
052773,Cajon High School,San Bernardino,San Bernardino
052774,Arrowhead Christian Academy Upper,Redlands,San Bernardino
052778,Everett Alvarez High School,Salinas,Monterey
052782,Natomas High School,Sacramento,Sacramento
052790,Pacific High School,San Bernardino,San Bernardino
052792,Sheldon High School,Sacramento,Sacramento
052795,High Tech High Mesa,San Diego,San Diego
052797,San Bernardino High School,San Bernardino,San Bernardino
052798,San Gorgonio High School,San Bernardino,San Bernardino
052803,Natomas Charter School,Sacramento,Sacramento
052810,Capuchino High School,San Bruno,San Mateo
052814,San Clemente High School,San Clemente,Orange
052820,Academy of Our Lady of Peace,San Diego,San Diego
052826,Mount Everest Academy,San Diego,San Diego
052834,Scripps Ranch High,San Diego,San Diego
052836,Christian High School,El Cajon,San Diego
052837,Clairemont High School,San Diego,San Diego
052843,Francis Parker School,San Diego,San Diego
052850,Hoover High School,San Diego,San Diego
052853,Madison High School,San Diego,San Diego
052858,Mira Mesa High School,San Diego,San Diego
052860,Mission Bay High,San Diego,San Diego
052862,Mount Carmel High School,San Diego,San Diego
052867,Patrick Henry High School,San Diego,San Diego
052869,San Diego Schl Create/Perform,San Diego,San Diego
052870,Point Loma High School,San Diego,San Diego
052879,Gompers Preparatory Academy,San Diego,San Diego
052880,Saint Augustine High School,San Diego,San Diego
052881,Morse High School,San Diego,San Diego
052885,San Diego High School Educatio,San Diego,San Diego
052887,University City High School,San Diego,San Diego
052891,Canyon Hills High School,San Diego,San Diego
052892,Southwest High School,San Diego,San Diego
052894,San Dimas High School,San Dimas,Los Angeles
052895,Stephen W Kearny High School,San Diego,San Diego
052896,Cathedral Catholic H S,San Diego,San Diego
052897,Crawford High School,San Diego,San Diego
052898,Bishop Alemany High School,Mission Hills,Los Angeles
052902,James Monroe High School,North Hills,Los Angeles
052905,San Fernando High School,San Fernando,Los Angeles
052908,Sylmar High School,Sylmar,Los Angeles
052910,Abraham Lincoln High School,San Francisco,San Francisco
052916,Balboa High School,San Francisco,San Francisco
052935,Convent of the Sacred Heart Hs,San Francisco,San Francisco
052937,Cambridge Intrntl Prep School,San Francisco,San Francisco
052940,Drew School,San Francisco,San Francisco
052943,International Sch of San Francisco,San Francisco,San Francisco
052945,Galileo Acad of Science & Tech,San Francisco,San Francisco
052946,San Diego Jewish Academy,San Diego,San Diego
052947,Gateway High School,San Francisco,San Francisco
052948,Arroyo Valley High School,San Bernardino,San Bernardino
052949,Middle College High School,San Bernardino,San Bernardino
052950,George Washington High School,San Francisco,San Francisco
052951,High Tech High School,San Diego,San Diego
052953,Lisa Kampner Hebrew Academy,San Francisco,San Francisco
052955,Immaculate Conception Academy,San Francisco,San Francisco
052956,International Studies Academy,San Francisco,San Francisco
052960,John O'connell High School,San Francisco,San Francisco
052967,Lick-Wilmerding High School,San Francisco,San Francisco
052968,Leadership High School,San Francisco,San Francisco
052970,Lowell High School,San Francisco,San Francisco
052971,Lycee Francais De San Fran,San Francisco,San Francisco
052975,Mercy High School,San Francisco,San Francisco
052980,Mission Senior High School,San Francisco,San Francisco
052984,Jewish Community Hs of the Bay,San Francisco,San Francisco
052986,Westview High School,San Diego,San Diego
052987,Los Osos High School,Rancho Cucamonga,San Bernardino
052994,Phillip & Sala Burton Acad Hs,San Francisco,San Francisco
052995,J Eugene Mcateer High School,San Francisco,San Francisco
052999,Raoul Wallenberg Traditional,San Francisco,San Francisco
053000,Archbishop Riordan High School,San Francisco,San Francisco
053004,Vista Murrieta High School,Murrieta,Riverside
053005,Sacred Heart Cathedral Prep,San Francisco,San Francisco
053009,Metwest High School,Oakland,Alameda
053010,Saint Ignatius College Prep Sc,San Francisco,San Francisco
053014,Magnolia Science Academy - 1 Reseda,Reseda,Los Angeles
053028,Inderkum High School,Sacramento,Sacramento
053029,Stuart Hall High School,San Francisco,San Francisco
053033,Ruth Asawa School of the Arts,San Francisco,San Francisco
053039,San Francisco University Hs,San Francisco,San Francisco
053048,Urban School of San Francisco,San Francisco,San Francisco
053053,Don Bosco Technical Institute,Rosemead,Los Angeles
053055,San Gabriel High School,San Gabriel,Los Angeles
053061,San Gabriel Mission High School,San Gabriel,Los Angeles
053062,Gabrielino High School,San Gabriel,Los Angeles
053065,Sanger High School,Sanger,Fresno
053066,Thurgood Marshall Academic Hs,San Francisco,San Francisco
053070,San Jacinto High School,San Jacinto,Riverside
053075,Abraham Lincoln High School,San Jose,Santa Clara
053077,Andrew P Hill High School,San Jose,Santa Clara
