entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,c_first,c_second,c_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2013,pell_status,pell,3,3.84,4.0,3332,864,124,,,
FR,All,2014,ethnicity,aian,1,0.25,3.59,50,19,1,,,
FR,All,2014,ethnicity,aian,2,3.59,3.86,45,22,2,,,
FR,All,2014,ethnicity,aian,3,3.86,4.0,50,9,2,,,
FR,All,2014,ethnicity,asian,1,0.25,3.59,2861,731,104,,,
FR,All,2014,ethnicity,asian,2,3.59,3.86,3727,675,106,,,
FR,All,2014,ethnicity,asian,3,3.86,4.0,4110,582,78,,,
FR,All,2014,ethnicity,black,1,0.25,3.59,382,159,17,,,
FR,All,2014,ethnicity,black,2,3.59,3.86,258,61,17,,,
FR,All,2014,ethnicity,black,3,3.86,4.0,206,50,10,,,
FR,All,2014,ethnicity,hispanic_latino,1,0.25,3.59,2020,855,157,,,
FR,All,2014,ethnicity,hispanic_latino,2,3.59,3.86,1908,692,117,,,
FR,All,2014,ethnicity,hispanic_latino,3,3.86,4.0,1377,418,56,,,
FR,All,2014,ethnicity,international,1,0.25,3.59,446,125,34,,,
FR,All,2014,ethnicity,international,2,3.59,3.86,724,160,26,,,
FR,All,2014,ethnicity,international,3,3.86,4.0,1057,179,44,,,
FR,All,2014,ethnicity,white,1,0.25,3.59,1392,372,71,,,
FR,All,2014,ethnicity,white,2,3.59,3.86,2142,352,61,,,
FR,All,2014,ethnicity,white,3,3.86,4.0,2956,365,49,,,
FR,All,2014,first_gen_status,first_gen,1,0.25,3.59,3494,1309,215,,,
FR,All,2014,first_gen_status,first_gen,2,3.59,3.86,3525,1045,180,,,
FR,All,2014,first_gen_status,first_gen,3,3.86,4.0,2906,669,111,,,
FR,All,2014,first_gen_status,not_first_gen,1,0.25,3.59,3692,948,173,,,
FR,All,2014,first_gen_status,not_first_gen,2,3.59,3.86,5362,932,149,,,
FR,All,2014,first_gen_status,not_first_gen,3,3.86,4.0,7025,949,130,,,
FR,All,2014,pell_status,non_pell,1,0.25,3.59,3616,909,169,,,
FR,All,2014,pell_status,non_pell,2,3.59,3.86,5333,892,135,,,
FR,All,2014,pell_status,non_pell,3,3.86,4.0,6870,891,114,,,
FR,All,2014,pell_status,pell,1,0.25,3.59,3683,1392,227,,,
FR,All,2014,pell_status,pell,2,3.59,3.86,3716,1122,196,,,
FR,All,2014,pell_status,pell,3,3.86,4.0,3208,757,131,,,
FR,All,2015,ethnicity,aian,1,1.0,3.61,37,12,5,,,
FR,All,2015,ethnicity,aian,2,3.61,3.87,45,11,3,,,
FR,All,2015,ethnicity,aian,3,3.87,4.0,56,7,3,,,
FR,All,2015,ethnicity,asian,1,1.0,3.61,2962,720,111,,,
FR,All,2015,ethnicity,asian,2,3.61,3.87,3741,627,98,,,
FR,All,2015,ethnicity,asian,3,3.87,4.0,4284,526,61,,,
FR,All,2015,ethnicity,black,1,1.0,3.61,338,133,25,,,
FR,All,2015,ethnicity,black,2,3.61,3.87,248,70,16,,,
FR,All,2015,ethnicity,black,3,3.87,4.0,207,64,6,,,
FR,All,2015,ethnicity,hispanic_latino,1,1.0,3.61,2175,834,158,,,
FR,All,2015,ethnicity,hispanic_latino,2,3.61,3.87,1816,574,98,,,
FR,All,2015,ethnicity,hispanic_latino,3,3.87,4.0,1556,407,52,,,
FR,All,2015,ethnicity,international,1,1.0,3.61,611,139,33,,,
FR,All,2015,ethnicity,international,2,3.61,3.87,952,184,29,,,
FR,All,2015,ethnicity,international,3,3.87,4.0,1063,170,40,,,
FR,All,2015,ethnicity,white,1,1.0,3.61,1262,390,65,,,
FR,All,2015,ethnicity,white,2,3.61,3.87,2030,384,50,,,
FR,All,2015,ethnicity,white,3,3.87,4.0,3050,351,36,,,
FR,All,2015,first_gen_status,first_gen,1,1.0,3.61,3663,1260,222,,,
FR,All,2015,first_gen_status,first_gen,2,3.61,3.87,3412,914,147,,,
FR,All,2015,first_gen_status,first_gen,3,3.87,4.0,2886,616,76,,,
FR,All,2015,first_gen_status,not_first_gen,1,1.0,3.61,3778,981,170,,,
FR,All,2015,first_gen_status,not_first_gen,2,3.61,3.87,5553,956,151,,,
FR,All,2015,first_gen_status,not_first_gen,3,3.87,4.0,7616,927,126,,,
FR,All,2015,pell_status,non_pell,1,1.0,3.61,3892,979,170,,,
FR,All,2015,pell_status,non_pell,2,3.61,3.87,5542,926,126,,,
FR,All,2015,pell_status,non_pell,3,3.87,4.0,7438,818,107,,,
FR,All,2015,pell_status,pell,1,1.0,3.61,3668,1302,232,,,
FR,All,2015,pell_status,pell,2,3.61,3.87,3557,969,175,,,
FR,All,2015,pell_status,pell,3,3.87,4.0,3219,745,98,,,
FR,All,2016,ethnicity,aian,1,0.85,3.59,46,11,2,,,
FR,All,2016,ethnicity,aian,2,3.59,3.86,46,11,1,,,
FR,All,2016,ethnicity,aian,3,3.86,4.0,54,6,2,,,
FR,All,2016,ethnicity,asian,1,0.85,3.59,3211,691,107,,,
FR,All,2016,ethnicity,asian,2,3.59,3.86,4193,641,79,,,
FR,All,2016,ethnicity,asian,3,3.86,4.0,4858,510,45,,,
FR,All,2016,ethnicity,black,1,0.85,3.59,468,165,37,,,
FR,All,2016,ethnicity,black,2,3.59,3.86,385,83,11,,,
FR,All,2016,ethnicity,black,3,3.86,4.0,285,44,4,,,
FR,All,2016,ethnicity,hispanic_latino,1,0.85,3.59,2887,901,160,,,
FR,All,2016,ethnicity,hispanic_latino,2,3.59,3.86,2564,670,85,,,
FR,All,2016,ethnicity,hispanic_latino,3,3.86,4.0,2009,437,46,,,
FR,All,2016,ethnicity,international,1,0.85,3.59,629,127,25,,,
FR,All,2016,ethnicity,international,2,3.59,3.86,1008,149,31,,,
FR,All,2016,ethnicity,international,3,3.86,4.0,1361,163,41,,,
FR,All,2016,ethnicity,white,1,0.85,3.59,1505,370,65,,,
FR,All,2016,ethnicity,white,2,3.59,3.86,2355,369,49,,,
FR,All,2016,ethnicity,white,3,3.86,4.0,3449,373,30,,,
FR,All,2016,first_gen_status,first_gen,1,0.85,3.59,4415,1220,215,,,
FR,All,2016,first_gen_status,first_gen,2,3.59,3.86,4161,967,120,,,
FR,All,2016,first_gen_status,first_gen,3,3.86,4.0,3417,633,64,,,
FR,All,2016,first_gen_status,not_first_gen,1,0.85,3.59,4320,1045,176,,,
FR,All,2016,first_gen_status,not_first_gen,2,3.59,3.86,6501,978,136,,,
FR,All,2016,first_gen_status,not_first_gen,3,3.86,4.0,8890,935,105,,,
FR,All,2016,pell_status,non_pell,1,0.85,3.59,4484,1011,149,,,
FR,All,2016,pell_status,non_pell,2,3.59,3.86,6612,924,123,,,
FR,All,2016,pell_status,non_pell,3,3.86,4.0,8864,905,93,,,
FR,All,2016,pell_status,pell,1,0.85,3.59,4424,1301,253,,,
FR,All,2016,pell_status,pell,2,3.59,3.86,4237,1055,137,,,
FR,All,2016,pell_status,pell,3,3.86,4.0,3630,685,78,,,
FR,All,2017,ethnicity,aian,1,0.0,3.63,40,16,2,,,
FR,All,2017,ethnicity,aian,2,3.63,3.88,44,6,4,,,
FR,All,2017,ethnicity,aian,3,3.88,4.0,45,3,1,,,
FR,All,2017,ethnicity,asian,1,0.0,3.63,3310,529,104,,,
FR,All,2017,ethnicity,asian,2,3.63,3.88,4134,516,86,,,
FR,All,2017,ethnicity,asian,3,3.88,4.0,4892,428,66,,,
FR,All,2017,ethnicity,black,1,0.0,3.63,486,147,33,,,
FR,All,2017,ethnicity,black,2,3.63,3.88,405,87,13,,,
FR,All,2017,ethnicity,black,3,3.88,4.0,256,36,7,,,
FR,All,2017,ethnicity,hispanic_latino,1,0.0,3.63,2711,724,145,,,
FR,All,2017,ethnicity,hispanic_latino,2,3.63,3.88,2550,533,83,,,
FR,All,2017,ethnicity,hispanic_latino,3,3.88,4.0,2028,330,39,,,
FR,All,2017,ethnicity,international,1,0.0,3.63,761,172,38,,,
FR,All,2017,ethnicity,international,2,3.63,3.88,1003,143,30,,,
FR,All,2017,ethnicity,international,3,3.88,4.0,1239,131,34,,,
FR,All,2017,ethnicity,white,1,0.0,3.63,1384,348,69,,,
FR,All,2017,ethnicity,white,2,3.63,3.88,2158,322,50,,,
FR,All,2017,ethnicity,white,3,3.88,4.0,3371,305,41,,,
FR,All,2017,first_gen_status,first_gen,1,0.0,3.63,4137,988,198,,,
